ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
UserDeviceApplication,Represents information on applications installed on a device that is accessing Salesforce. Available in API version 43.0 and later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",You must have View Devices enabled to see devices.,,,
UserDeviceHistory,Represents tracking information on the UserDevice sObject. This object is available in API version 50.0 and later.,"describeSObjects(),  getDeleted(), getUpdated(),  query(),  retrieve()",,,,
UserEmailCalendarSync,Represents the user assignments of an Einstein Activity Capture configuration.  This object is available in API version 49.0 and later.  ,"create(), describeSObjects(), query(), update(), upsert()",,Use UserEmailCalendarSync to add and remove users to an Einstein Activity Capture configuration.,,
UserEmailPreferredPerson,Represents a mapping for a user’s preferred record for an email      address when multiple records match an email field.This object is available in API version 44.0  and later.," create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()","As of Summer ‘20 and later, only authenticated internal and external users can access this object.",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
UserEmailPreferredPersonShare,Represents a sharing entry on a UserEmailPreferredPerson object.      Sharing is not customizable for UserEmailPreferredPerson records.This object is available in API version 44.0  and later.," create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,,,
UserLicense,Represents a user license in your organization. Auser license entitles a user to specific functionality and determines the profiles and permissionsets available to the user.,"describeSObjects(), query(), retrieve()",,Users with the “View Setup and Configuration” permission can use the UserLicense object to view the set of currently defined user licenses in your organization.,,
UserListView,Represents the customizations a user made to a list view. This   object is available in API version 32.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(),  update(), upsert()",,,,
UserListViewCriterion,Represents the criterion for a user’s customized list view. Thecriterion consists of the filters or sort order a user added to a list view for the SalesforceMobile app. This object is available in API version 32.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(),  update(), upsert()",,,,
UserLogin,"Represents the settings that affect a user’s ability to log   into an organization. To access this object, you need the     UserPermissions.ManageUsers permission. This object is available in API version 29.0 and later.","describeSObjects(), query(), retrieve(), update()",,,,
UserMembershipSharingRule,"Represents the rules for sharing user records from a source group to a   target group. A user record contains details about a user. Users who are members of the source   group can be shared with members of the target group. The source and target groups can be   based on roles, portal roles, public groups, or territories. ","create(),delete(),describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), update()","As of Spring ’20 and later, only users with the View Setup and Configuration permission can     access this object, and only users with the Manage Sharing permission can edit this     object.","Use this object to manage sharing rules for user records. Source and target groups can     include internal users, portal users, Chatter or Chatter External users.",,
